Contract Length,Position,Age,Contract,Name,Cap %,Prev Year,GP,G,A,P,P/GP,Blocks/82,TOI/G,S%,Plus/Minus/82,Hits/82,G/82,A/82,P/82
6,C,25,6500000,Stepan,0.091,2014-2015,68,16,39,55,0.808823529,32.55882353,18.18333333,0.103,31.35294118,43.41176471,19.29411765,47.02941176,66.32352941
6,C,26,5166667,Gourde,0.065,2017-2018,82,25,39,64,0.780487805,42,16.15,0.184,34,57,25,39,64
5,C,21,8454000,Aho,0.104,2018-2019,82,30,53,83,1.012195122,34,20.15,0.1235,25,65,30,53,83
5,C,21,11634000,Matthews,0.146,2017-2018,62,34,29,63,1.016129032,80.67741935,18.13333333,0.182,33.06451613,21.16129032,44.96774194,38.35483871,83.32258065
5,C,22,6100000,Larkin,0.077,2017-2018,82,16,47,63,0.768292683,42,19.85,0.069,-9,76,16,47,63
5,C,24,6000000,Guentzel,0.075,2017-2018,82,22,26,48,0.585365854,46,16.48333333,0.129,-9,142,22,26,48
5,C,24,5350000,Zibanejad,0.071,2016-2017,56,14,23,37,0.660714286,39.53571429,17.06666667,0.118,13.17857143,33.67857143,20.5,33.67857143,54.17857143
5,C,25,5250000,JT Miller,0.066,2017-2018,82,23,35,58,0.707317073,26,17.01666667,0.161,-4,124,23,35,58
5,C,25,3350000,Cizikas,0.046,2015-2016,80,8,21,29,0.3625,63.55,12.68333333,0.095,4.1,161.95,8.2,21.525,29.725
5,C,26,4375000,Sutter,0.06,2014-2015,80,21,12,33,0.4125,49.2,17.31666667,0.117,6.15,88.15,21.525,12.3,33.825
5,C,26,3250000,Faksa,0.04,2019-2020,77.31428571,12.88571429,10.54285714,23.42857143,0.303030303,54.66666667,15.88333333,0.1009,-7.454545455,104.3636364,13.66666667,11.18181818,24.84848485
4,C,24,5625000,Hertl,0.071,2017-2018,79,22,24,46,0.582278481,73.69620253,18.1,0.126,-2.075949367,87.18987342,22.83544304,24.91139241,47.74683544
4,C,24,3500000,Kerf,0.043,2018-2019,78,15,27,42,0.538461538,30.48717949,14.88333333,0.1293,-9.461538462,23.12820513,15.76923077,28.38461538,44.15384615
4,C,24,3500000,JT Compher,0.043,2018-2019,66,16,16,32,0.484848485,73.3030303,17.48333333,0.1356,-9.939393939,41,19.87878788,19.87878788,39.75757576
4,C,25,3750000,Jenner,0.047,2017-2018,75,13,19,32,0.426666667,90.74666667,16.46666667,0.07,1.093333333,224.1333333,14.21333333,20.77333333,34.98666667
4,C,25,2750000,Sundqvist,0.034,2018-2019,74,14,17,31,0.418918919,34.35135135,13.81666667,0.1239,-1.108108108,111.9189189,15.51351351,18.83783784,34.35135135
4,C,26,2750000,Stephenson,0.034,2019-2020,76.14285714,12.88571429,17.57142857,30.45714286,0.4,40.36923077,14.31666667,0.151,30.27692308,65.6,13.87692308,18.92307692,32.8
