Contract Length,Position,Age,Contract,Name,Cap %,Prev Year,GP,G,A,P,P/GP,Blocks/82,TOI/G,S%,Plus/Minus/82,Hits/82,G/82,A/82,P/82
2,C,23,725000,Trenin,0.009,2019-2020,24.6,2.342857143,4.685714286,7.028571429,0.285714286,35.14285714,9.733333333,0.08,3.904761905,179.6190476,7.80952381,15.61904762,23.42857143
2,C,24,2800000,Heinen,0.034,2018-2019,77,11,23,34,0.441558442,38.33766234,13.96666667,0.0965,13.84415584,57.50649351,11.71428571,24.49350649,36.20779221
2,C,24,1000000,Kampf,0.012,2018-2019,63,4,15,19,0.301587302,39.04761905,13.91666667,0.0556,-7.80952381,50.76190476,5.206349206,19.52380952,24.73015873
2,C,24,900000,Appleton,0.011,2019-2020,53.88571429,5.857142857,3.514285714,9.371428571,0.173913043,21.39130435,11.16666667,0.091,-16.04347826,35.65217391,8.913043478,5.347826087,14.26086957
2,C,24,1000000,ZAR,0.012,2018-2019,43,8,9,17,0.395348837,70.55813953,13.65,0.1053,22.88372093,263.1627907,15.25581395,17.1627907,32.41860465
2,C,24,725000,Highmore,0.009,2019-2020,42.17142857,2.342857143,4.685714286,7.028571429,0.166666667,20.5,9.816666667,0.057,-2.277777778,86.55555556,4.555555556,9.111111111,13.66666667
2,C,24,825000,MacEwen,0.01,2019-2020,19.91428571,5.857142857,1.171428571,7.028571429,0.352941176,24.11764706,9.616666667,0.294,-28.94117647,197.7647059,24.11764706,4.823529412,28.94117647
2,C,24,725000,Angello,0.009,2019-2020,9.371428571,1.171428571,0,1.171428571,0.125,51.25,5.716666667,0.2,-10.25,133.25,10.25,0,10.25
2,C,25,5300000,Domi,0.065,2019-2020,82,19.63380282,31.18309859,50.81690141,0.61971831,15.22857143,17.1,0.095,-3.514285714,37.48571429,19.63380282,31.18309859,50.81690141
2,C,25,2425000,Iafallo,0.03,2018-2019,82,15,18,33,0.402439024,54,16.83333333,0.1014,-17,87,15,18,33
2,C,25,2300000,Laughton,0.028,2018-2019,82,12,20,32,0.390243902,46,14.85,0.0923,-11,146,12,20,32
2,C,25,2280000,Copp,0.028,2018-2019,69,11,14,25,0.362318841,40.4057971,12.16666667,0.1341,23.76811594,84.37681159,13.07246377,16.63768116,29.71014493
2,C,25,1500000,Dickinson,0.018,2018-2019,67,6,16,22,0.328358209,61.19402985,13.36666667,0.0638,11.01492537,129.7313433,7.343283582,19.58208955,26.92537313
