Contract Length,Position,Age,Contract,Name,Cap %,Prev Year,GP,G,A,P,P/GP,Plus/Minus/82,S%,TOI/G,Blocks/82,Hits/82,G/82,A/82,P/82
1,LW,27,875000,Leivo,1.10%,2019-2020,42.17142857,8.2,14.05714286,22.25714286,0.527777778,0,10.10%,15.01666667,18.22222222,38.72222222,15.94444444,27.33333333,43.27777778
1,LW,27,700000,Rodriqes,0.90%,2019-2020,52.71428571,7.028571429,4.685714286,11.71428571,0.222222222,-14.57777778,8%,11.28333333,27.33333333,25.51111111,10.93333333,7.288888889,18.22222222
1,LW,27,700000,Nieto,0.90%,2019-2020,82,9.371428571,15.22857143,24.6,0.3,8.2,9.40%,13.5,26.94285714,43.34285714,9.371428571,15.22857143,24.6
1,LW,27,900000,Vesey,1.10%,2019-2020,74.97142857,10.54285714,12.88571429,23.42857143,0.3125,15.375,9.70%,13.8,25.625,55.09375,11.53125,14.09375,25.625
1,LW,27,700000,Boyd,0.90%,2019-2020,28.11428571,3.514285714,8.2,11.71428571,0.416666667,30.75,11.50%,11.75,30.75,47.83333333,10.25,23.91666667,34.16666667
12,LW,28,6083333,Zetterberg,10.70%,2007-2008,75,43,49,92,1.226666667,32.8,12%,22.06666667,17.49333333,33.89333333,47.01333333,53.57333333,100.5866667
8,LW,28,6125000,Marchand,8.40%,2015-2016,77,37,24,61,0.792207792,22.36363636,14.80%,18.6,37.27272727,69.22077922,39.4025974,25.55844156,64.96103896
7,LW,28,6000000,Lucic,8.20%,2015-2016,81,20,35,55,0.679012346,26.32098765,16.10%,17.23333333,22.27160494,247.0123457,20.24691358,35.43209877,55.67901235
4,LW,28,2962500,Foligno,3.80%,2016-2017,80,13,10,23,0.2875,-1.025,13.40%,15.46666667,58.425,285.975,13.325,10.25,23.575
6,LW,28,5000000,Bailey,6.70%,2016-2017,82,13,43,56,0.682926829,5,7.50%,18.36666667,53,37,13,43,56
3,LW,28,2850000,Calvert,3.60%,2017-2018,69,9,15,24,0.347826087,-11.88405797,8.30%,13.38333333,41.5942029,72.49275362,10.69565217,17.82608696,28.52173913
4,LW,28,3000000,Roussel,3.80%,2017-2018,73,5,12,17,0.232876712,1.123287671,5.90%,12.43333333,47.17808219,116.8219178,5.616438356,13.47945205,19.09589041
2,LW,28,1000000,Deslauriers,1.20%,2018-2019,48,2,3,5,0.104166667,-20.5,4.20%,10.03333333,37.58333333,230.625,3.416666667,5.125,8.541666667
1,LW,28,700000,Bourque,0.90%,2018-2019,55,2,6,8,0.145454545,4.472727273,5.90%,9.733333333,71.56363636,149.0909091,2.981818182,8.945454545,11.92727273
2,LW,28,1400000,Johan Larsson,1.70%,2019-2020,72.62857143,7.028571429,14.05714286,21.08571429,0.290322581,10.58064516,10%,14.9,41,112.4193548,7.935483871,15.87096774,23.80645161
1,LW,28,8000000,Hall,9.80%,2019-2020,76.14285714,18.74285714,42.17142857,60.91428571,0.8,-17.66153846,6.90%,19.16666667,36.58461538,59.29230769,20.18461538,45.41538462,65.6
1,LW,28,700000,Nordstrom,0.90%,2019-2020,56.22857143,4.685714286,3.514285714,8.2,0.145833333,-10.25,8.20%,12.1,52.95833333,155.4583333,6.833333333,5.125,11.95833333
7,LW,28,6500000,Kreider,8%,2019-2020,73.8,28.11428571,24.6,52.71428571,0.714285714,16.92063492,15.40%,17.25,54.66666667,150.984127,31.23809524,27.33333333,58.57142857
1,LW,28,1250000,Nosek,1.50%,2019-2020,78.48571429,9.371428571,8.2,17.57142857,0.223880597,-2.447761194,8.60%,11.6,46.50746269,111.3731343,9.791044776,8.567164179,18.35820896
